Career_Path,Python_Skill,Java_Skill,JavaScript_Skill,SQL_Skill,C++_Skill,R_Skill,Machine_Learning_Skill,Deep_Learning_Skill,NLP_Skill,Computer_Vision_Skill,React_Skill,Node.js_Skill,Django_Skill,FastAPI_Skill,Docker_Skill,AWS_Skill,Azure_Skill,GCP_Skill,Kubernetes_Skill,Terraform_Skill,TensorFlow_Skill,PyTorch_Skill,Scikit-learn_Skill,Pandas_Skill,NumPy_Skill,System_Design_Skill,Data_Structures_Skill,Algorithms_Skill,Statistics_Skill,Linear_Algebra_Skill,CGPA,Experience_Years,Primary_Interest,Secondary_Interest,Personality_Type,Education_Level,Certifications,Projects_Completed,GitHub_Repos,Hackathons,Internships,Expected_Salary,Job_Market_Demand,Satisfaction_Score
Cybersecurity Analyst,7,5,6,2,9,2,6,6,1,3,3,3,5,2,5,7,3,3,4,1,2,5,5,4,5,8,9,8,2,1,7.04,5,Blockchain,Mobile Apps,Leadership,B.Sc,7,13,7,9,2,90000,6,71
Cloud Architect,1,5,5,3,2,4,6,4,5,1,1,6,2,6,7,9,9,9,10,7,2,3,5,4,6,7,5,6,4,2,6.66,5,Cybersecurity,Cybersecurity,Innovative,M.Tech,0,2,19,5,0,220000,5,88
UI/UX Designer,5,3,7,3,3,2,2,5,5,4,9,1,1,5,1,4,4,1,4,6,1,3,4,3,3,2,1,5,6,6,8.92,2,Web Development,Mobile Apps,Innovative,BCA,0,4,12,9,2,180000,9,94
Data Scientist,10,5,5,6,1,5,7,9,1,2,3,4,2,1,4,2,3,4,4,1,6,4,2,8,7,7,4,5,10,3,6.03,4,AR/VR,AI/ML,Detail-oriented,M.Tech,7,15,41,10,3,290000,9,83
AI/ML Engineer,10,1,1,1,3,3,9,10,9,8,4,5,4,1,1,3,3,2,1,4,10,7,6,4,3,3,5,6,4,3,7.28,4,Web Development,Web Development,Leadership,BCA,6,11,11,3,2,40000,9,82
Cloud Architect,1,1,5,5,7,3,1,1,1,3,3,5,5,3,10,10,8,8,9,7,5,6,1,4,2,9,5,5,4,5,9.48,0,IoT,AI/ML,Detail-oriented,MCA,5,3,50,2,3,290000,8,72
AI/ML Engineer,7,1,1,1,5,3,8,8,10,9,1,1,2,1,7,1,2,3,2,3,10,10,3,3,4,4,1,2,5,3,7.28,5,IoT,AI/ML,Analytical,M.Tech,3,15,40,4,1,150000,10,99
Blockchain Developer,6,1,9,5,7,3,4,3,2,4,1,5,2,4,1,3,3,2,1,1,1,3,5,1,4,1,9,7,6,3,9.58,2,Data Analytics,Mobile Apps,Collaborative,B.Tech,2,10,20,0,1,90000,6,90
Cloud Architect,2,6,1,6,2,5,2,1,4,5,3,2,5,2,9,9,9,6,8,8,5,5,3,3,2,9,4,1,2,3,7.65,5,Cybersecurity,AR/VR,Leadership,BCA,5,5,6,9,3,170000,7,80
Blockchain Developer,9,1,8,3,9,5,4,1,3,1,3,4,2,1,3,4,1,6,4,3,3,4,4,4,1,7,6,9,2,7,8.62,2,IoT,IoT,Analytical,M.Sc,6,13,46,3,2,130000,8,75
Data Scientist,8,7,1,8,2,3,8,8,4,4,3,2,4,1,4,2,3,2,4,6,7,4,2,8,7,5,5,1,7,4,7.0,4,Web Development,Cloud Computing,Innovative,M.Tech,5,7,47,7,0,80000,6,63
Cybersecurity Analyst,5,8,4,2,5,4,2,6,2,6,4,3,3,1,2,3,5,3,5,1,3,4,4,2,3,6,9,8,3,1,9.89,2,Product Design,Cybersecurity,Collaborative,M.Tech,6,8,26,1,3,270000,7,78
AI/ML Engineer,10,1,3,4,6,3,9,10,8,8,1,3,4,1,5,5,6,3,1,2,10,10,1,5,3,3,2,1,1,2,9.85,5,IoT,Blockchain,Innovative,M.Sc,8,6,43,6,1,260000,5,99
Blockchain Developer,5,1,9,3,6,6,1,1,3,5,2,1,2,6,3,7,3,4,1,1,2,2,7,2,4,2,10,7,1,5,9.73,3,Blockchain,Cloud Computing,Leadership,B.Tech,0,13,16,6,3,250000,8,64
Mobile Developer,6,6,10,5,5,1,3,3,1,4,9,6,3,6,1,1,3,1,1,3,4,1,3,3,7,1,5,7,3,3,6.33,3,Cybersecurity,Mobile Apps,Collaborative,B.Sc,8,8,10,0,2,110000,9,90
AI/ML Engineer,7,1,4,1,4,5,9,8,7,8,3,4,3,5,6,3,2,1,3,1,9,7,2,3,3,3,4,3,3,4,8.18,0,Data Analytics,AR/VR,Leadership,M.Tech,1,10,2,3,1,120000,6,64
Cybersecurity Analyst,9,8,2,2,9,4,7,1,4,3,4,5,2,4,3,2,1,3,3,5,1,5,1,2,1,9,5,10,4,2,8.67,0,Product Design,Cybersecurity,Detail-oriented,MCA,3,13,6,8,1,50000,6,99
Full Stack Developer,7,3,10,7,6,2,3,2,4,2,10,8,9,6,7,1,2,1,3,1,4,2,2,7,1,5,4,4,1,4,7.43,1,Web Development,Web Development,Leadership,B.Tech,2,7,27,8,0,100000,8,88
DevOps Engineer,5,2,2,4,1,4,1,1,4,2,1,7,2,3,10,8,1,6,10,8,2,4,6,5,6,6,3,6,4,1,9.23,2,Product Design,Web Development,Creative,BCA,6,11,9,8,1,90000,6,92
Cybersecurity Analyst,7,8,3,2,5,5,3,6,4,4,5,1,4,3,1,7,5,4,1,2,3,4,5,4,1,7,9,9,3,2,8.88,3,Web Development,Web Development,Detail-oriented,B.Tech,7,8,0,7,0,70000,9,93
DevOps Engineer,9,5,4,3,2,5,1,1,5,4,1,1,4,4,7,9,1,6,10,8,4,4,1,1,2,9,2,3,4,3,9.35,2,Data Analytics,Product Design,Creative,BCA,7,8,41,1,0,170000,5,98
Blockchain Developer,7,5,7,3,6,7,3,3,1,2,5,4,4,4,2,7,5,5,1,1,3,3,4,6,2,2,6,8,1,3,10.0,2,Data Analytics,Cybersecurity,Leadership,M.Tech,5,8,42,9,0,270000,10,85
Product Manager,3,2,4,5,4,4,6,1,5,3,6,2,3,4,1,7,3,3,2,1,3,5,1,3,1,9,4,3,7,4,7.84,4,Product Design,Mobile Apps,Creative,BCA,7,6,26,7,3,100000,10,98
Product Manager,4,1,2,6,3,6,2,3,5,4,5,1,5,4,4,4,1,3,7,4,5,3,4,3,5,8,2,7,5,1,8.91,3,AI/ML,IoT,Collaborative,B.Sc,6,3,30,5,0,250000,9,66
UI/UX Designer,1,1,7,4,6,1,4,1,1,3,7,3,3,4,5,1,4,7,1,3,5,1,1,2,2,3,1,1,7,5,6.4,5,Cybersecurity,Data Analytics,Analytical,MCA,7,10,48,2,1,260000,10,97
Mobile Developer,4,8,9,4,2,5,3,3,1,4,5,3,1,3,2,2,6,4,7,5,2,3,4,1,3,1,7,5,5,1,8.83,4,Cybersecurity,Cloud Computing,Detail-oriented,MCA,4,4,42,6,1,260000,5,65
Cloud Architect,2,1,3,1,4,3,2,2,1,2,1,1,5,6,7,10,7,6,10,10,1,3,1,6,3,9,7,1,2,1,6.16,0,IoT,Web Development,Innovative,B.Tech,6,9,7,0,0,260000,10,79
Product Manager,7,1,1,9,4,3,5,4,2,1,1,2,3,7,3,4,3,4,5,1,1,5,1,3,3,9,3,5,9,1,7.78,4,IoT,Web Development,Analytical,B.Tech,5,12,8,0,3,170000,9,86
AI/ML Engineer,9,1,7,2,1,6,8,8,10,6,2,5,3,1,2,1,2,2,3,5,9,7,2,5,3,1,1,6,4,1,7.86,5,AR/VR,IoT,Innovative,M.Sc,2,13,38,1,3,100000,10,98
UI/UX Designer,3,4,5,3,5,3,5,2,2,5,9,4,1,1,6,2,5,4,3,4,2,2,3,4,3,2,2,7,7,4,7.17,4,Data Analytics,Mobile Apps,Innovative,MCA,8,7,17,5,1,190000,5,74
Mobile Developer,3,9,7,2,2,3,4,4,7,3,9,4,6,3,1,2,4,5,6,1,5,2,1,1,4,5,5,9,1,4,7.96,4,Cloud Computing,Product Design,Analytical,B.Sc,3,8,42,9,2,250000,8,63
DevOps Engineer,9,1,2,1,4,1,3,1,4,4,2,1,3,6,7,8,3,6,10,9,4,1,5,3,1,7,6,2,2,4,9.93,2,Cloud Computing,Data Analytics,Leadership,BCA,8,0,45,5,2,180000,5,72
Cybersecurity Analyst,9,7,3,3,8,4,5,2,5,1,3,1,3,5,6,4,2,1,4,3,5,5,6,1,1,9,6,7,3,3,6.97,0,Cybersecurity,Web Development,Innovative,B.Sc,6,10,23,7,1,210000,8,66
Cloud Architect,2,6,1,7,1,2,1,1,3,4,5,4,4,1,10,10,9,6,8,7,2,1,6,3,3,10,3,4,1,3,9.28,3,AI/ML,Mobile Apps,Innovative,M.Sc,0,7,23,10,3,280000,9,71
Blockchain Developer,8,6,7,2,10,5,1,3,2,3,4,7,2,1,4,7,1,3,1,6,1,6,3,2,4,2,7,7,5,6,7.41,1,Web Development,AR/VR,Leadership,MCA,3,3,26,10,0,180000,9,63
Full Stack Developer,7,6,10,8,5,3,3,3,3,2,9,8,5,8,8,2,3,4,3,4,1,6,3,1,2,5,5,3,3,6,7.57,4,Blockchain,AI/ML,Analytical,MCA,4,10,39,6,0,230000,10,98
Mobile Developer,5,6,7,4,7,1,7,4,3,4,6,1,7,1,6,3,4,3,2,5,2,1,5,4,3,4,7,8,1,1,6.75,5,AI/ML,Cybersecurity,Creative,M.Sc,1,4,33,2,0,210000,6,63
UI/UX Designer,3,4,9,4,3,4,6,2,1,6,6,4,1,7,3,2,1,4,6,7,3,4,1,4,2,4,1,6,3,2,7.61,2,Product Design,Blockchain,Leadership,MCA,3,8,18,3,0,60000,9,91
DevOps Engineer,6,2,6,4,6,4,1,6,1,5,5,3,1,3,10,6,1,1,8,10,4,4,4,2,1,8,3,3,1,1,7.12,4,Web Development,Product Design,Leadership,BCA,1,3,26,8,1,220000,10,99
Cybersecurity Analyst,7,5,1,6,7,4,5,3,7,2,1,6,6,1,3,5,6,1,2,4,1,3,2,1,6,7,9,7,2,1,8.62,3,Web Development,AR/VR,Innovative,B.Tech,5,6,5,0,1,70000,6,91
UI/UX Designer,1,2,6,4,1,7,1,3,5,3,7,1,3,1,5,1,1,6,1,6,3,5,3,5,3,5,3,1,7,1,7.0,4,Blockchain,Blockchain,Analytical,MCA,3,14,45,8,0,220000,7,64
DevOps Engineer,5,1,3,4,4,2,3,7,1,2,6,7,1,4,9,9,4,3,10,8,1,4,2,2,5,8,4,3,4,4,6.58,5,Cybersecurity,Cybersecurity,Leadership,B.Tech,1,10,13,10,3,100000,9,70
UI/UX Designer,1,2,5,2,5,1,3,6,4,1,9,3,1,5,2,3,5,1,1,2,2,3,6,2,1,6,5,2,5,4,7.11,1,AI/ML,Cybersecurity,Creative,MCA,3,6,4,8,0,230000,10,99
UI/UX Designer,5,1,6,3,2,4,3,6,2,1,9,2,5,4,2,1,1,3,3,3,7,2,1,1,5,1,6,1,5,3,6.01,0,Web Development,Product Design,Detail-oriented,MCA,8,10,18,5,3,130000,10,99
DevOps Engineer,5,1,2,2,5,4,1,5,5,1,2,1,6,1,7,7,3,2,10,8,2,5,3,5,1,6,4,4,2,1,7.94,4,AI/ML,Blockchain,Collaborative,B.Sc,5,11,10,5,1,280000,8,80
Mobile Developer,7,6,8,1,5,3,2,3,1,2,9,5,2,2,6,1,3,5,2,7,3,6,5,2,1,4,6,5,1,1,9.52,0,AR/VR,Blockchain,Leadership,M.Tech,5,3,41,8,3,40000,8,79
Blockchain Developer,8,3,9,5,6,4,1,4,1,2,1,1,1,2,3,3,1,2,5,1,4,5,1,1,4,7,7,10,6,2,7.8,2,Product Design,IoT,Innovative,BCA,2,12,5,4,1,90000,10,87
UI/UX Designer,1,1,9,4,7,2,2,4,4,1,7,2,2,6,3,2,7,2,4,3,1,1,1,6,5,2,5,3,6,1,6.53,3,Product Design,Data Analytics,Detail-oriented,MCA,0,11,41,7,1,60000,9,72
Product Manager,6,2,1,7,6,4,6,4,1,3,4,1,2,7,1,1,1,4,1,1,4,3,3,2,5,9,2,2,8,4,9.8,3,Web Development,IoT,Analytical,B.Sc,3,13,8,6,1,40000,10,71
Mobile Developer,6,9,9,7,2,4,1,1,5,3,5,3,3,3,2,3,3,5,6,4,5,1,5,3,6,1,7,9,6,3,6.05,5,Product Design,Blockchain,Detail-oriented,B.Tech,8,10,39,6,2,110000,6,81
Cybersecurity Analyst,6,4,3,1,9,1,6,1,3,2,4,1,2,3,4,5,4,3,2,2,3,6,6,2,3,6,9,9,5,3,7.06,2,Product Design,Data Analytics,Analytical,BCA,5,3,23,3,0,200000,8,71
Cybersecurity Analyst,9,7,2,3,9,3,3,5,1,7,5,1,2,3,2,2,6,2,4,4,3,2,2,1,2,6,9,7,5,2,8.88,0,Data Analytics,Cloud Computing,Innovative,BCA,4,1,8,6,1,280000,6,96
DevOps Engineer,6,4,5,4,1,3,1,2,1,1,2,3,5,4,10,7,5,1,8,10,4,4,1,4,6,6,3,2,4,7,8.33,0,Product Design,AI/ML,Analytical,BCA,6,3,2,3,3,200000,5,71
AI/ML Engineer,10,1,4,4,3,7,9,10,10,6,4,5,5,1,1,3,6,2,3,2,10,9,5,2,1,4,4,3,5,6,6.92,3,Data Analytics,IoT,Innovative,M.Sc,0,7,43,3,2,270000,8,75
Product Manager,3,4,3,7,6,6,4,2,1,1,2,3,4,5,1,1,2,4,2,6,2,2,6,6,7,10,2,3,6,6,7.37,4,Mobile Apps,Product Design,Leadership,B.Tech,5,12,29,7,2,300000,8,67
Cybersecurity Analyst,9,8,4,5,7,4,4,1,4,2,2,7,2,6,3,4,7,4,2,3,3,1,1,2,6,6,5,9,3,5,9.18,5,Data Analytics,AR/VR,Innovative,M.Tech,6,9,39,10,0,260000,5,72
Mobile Developer,3,10,9,3,5,5,7,5,1,1,5,5,5,5,5,6,1,5,1,3,4,7,2,1,1,3,5,5,5,7,7.39,3,Mobile Apps,Data Analytics,Collaborative,MCA,4,10,25,2,1,300000,6,67
Mobile Developer,3,7,10,2,4,1,5,7,5,6,8,4,3,1,5,3,1,3,1,6,3,6,1,1,2,4,6,8,6,1,9.39,5,Mobile Apps,IoT,Collaborative,M.Tech,6,2,49,6,3,300000,6,92
Product Manager,5,5,5,6,4,3,3,1,4,6,6,3,2,2,1,2,3,3,1,1,3,4,3,3,3,10,3,3,9,5,8.06,1,Cybersecurity,Cybersecurity,Leadership,B.Tech,3,1,30,1,0,180000,9,90
Cybersecurity Analyst,6,4,2,1,8,3,1,6,5,1,5,1,3,5,2,3,3,7,4,3,1,3,3,1,1,10,6,6,6,3,8.86,5,AR/VR,Blockchain,Creative,B.Tech,1,1,20,5,3,250000,6,88
AI/ML Engineer,7,2,6,5,1,5,8,10,8,6,4,3,5,4,6,1,6,6,2,2,9,10,2,2,1,2,5,5,1,4,7.44,2,AI/ML,Web Development,Creative,BCA,4,10,13,5,1,290000,6,95
Blockchain Developer,7,1,10,6,7,2,4,2,1,4,2,1,1,4,4,5,2,2,5,6,4,1,4,3,7,1,10,10,2,1,9.99,3,Data Analytics,Blockchain,Creative,B.Tech,7,1,9,4,1,170000,5,77
Product Manager,4,1,3,8,3,4,4,2,2,4,7,2,5,5,4,4,1,5,1,5,5,5,5,2,4,9,1,1,7,5,8.74,5,Mobile Apps,Cloud Computing,Creative,BCA,5,12,8,9,3,80000,10,70
Blockchain Developer,5,6,10,6,10,3,3,1,2,2,1,6,3,2,2,7,3,7,2,2,2,3,2,5,5,1,8,8,1,1,7.01,5,IoT,Product Design,Analytical,M.Tech,2,15,33,3,1,180000,6,66
AI/ML Engineer,10,4,1,4,5,4,8,10,8,10,3,6,1,1,3,6,1,1,3,6,10,10,1,2,1,6,1,1,7,6,7.49,2,AR/VR,AR/VR,Collaborative,B.Tech,4,1,30,5,2,50000,5,61
Cloud Architect,2,2,4,4,2,1,1,6,6,6,4,3,5,1,7,10,8,9,10,10,3,3,2,4,2,8,1,4,4,6,9.78,1,AR/VR,Data Analytics,Detail-oriented,B.Tech,1,11,36,1,0,140000,8,70
Mobile Developer,3,10,7,5,4,1,4,1,6,5,5,4,5,3,1,4,4,3,1,6,1,1,3,1,4,3,8,7,6,3,9.84,4,Mobile Apps,AR/VR,Innovative,M.Sc,6,13,35,1,1,290000,8,66
DevOps Engineer,6,3,1,7,3,2,3,4,3,3,1,5,5,6,7,6,6,4,10,7,5,5,1,4,4,9,6,1,2,5,8.79,4,AI/ML,AI/ML,Innovative,M.Sc,8,14,10,4,1,100000,8,80
UI/UX Designer,5,1,7,5,4,1,1,4,4,3,10,1,1,3,3,2,5,1,1,4,1,6,4,4,6,4,2,2,7,4,6.53,0,AI/ML,Data Analytics,Analytical,M.Sc,2,0,8,0,3,110000,6,85
Product Manager,3,6,6,5,6,7,2,3,4,4,4,6,1,1,4,2,3,4,4,3,1,3,3,3,2,7,1,3,9,2,9.43,5,Cloud Computing,AI/ML,Analytical,B.Sc,3,0,37,3,0,60000,6,99
AI/ML Engineer,9,2,6,1,5,6,8,7,10,8,1,4,1,1,3,4,7,3,4,4,9,7,1,6,2,2,2,2,2,4,8.28,1,Blockchain,IoT,Detail-oriented,M.Tech,6,12,21,1,2,100000,7,73
Data Scientist,10,3,3,8,1,3,8,6,1,6,1,1,7,3,1,4,3,6,4,5,6,3,1,10,10,6,2,1,8,3,6.08,4,Mobile Apps,Web Development,Leadership,BCA,5,5,16,2,3,280000,5,70
Mobile Developer,7,8,10,5,3,5,6,3,1,3,6,7,1,5,3,4,2,1,3,3,1,2,1,5,5,1,5,9,5,5,7.76,3,AI/ML,Product Design,Leadership,M.Sc,1,4,8,4,2,290000,6,64
Cloud Architect,2,4,2,6,1,4,6,4,3,3,3,1,4,4,10,10,6,6,9,8,4,4,1,2,6,8,3,4,1,3,9.22,1,Web Development,IoT,Detail-oriented,M.Tech,1,2,1,0,0,110000,5,90
DevOps Engineer,7,3,3,2,7,2,3,5,1,4,3,7,2,4,10,8,6,3,10,7,6,4,1,3,3,6,4,4,2,1,9.45,4,Web Development,Cloud Computing,Leadership,B.Sc,7,8,23,2,3,200000,5,96
DevOps Engineer,7,2,1,3,1,1,3,1,4,4,1,1,6,3,9,8,1,4,9,7,6,3,1,6,4,10,5,3,1,4,6.78,0,Product Design,Blockchain,Leadership,B.Tech,1,0,25,9,2,280000,7,72
Product Manager,5,5,4,7,1,7,2,1,2,4,3,3,3,1,2,4,2,3,2,7,3,3,4,6,3,6,5,2,7,3,9.31,4,Blockchain,Web Development,Collaborative,M.Sc,1,5,1,4,1,280000,10,77
DevOps Engineer,5,4,6,3,2,5,2,2,1,7,3,5,3,5,10,8,1,5,8,8,5,1,3,3,5,6,4,1,6,2,9.89,3,Cloud Computing,Cybersecurity,Collaborative,BCA,0,8,27,7,0,260000,7,60
Blockchain Developer,7,5,7,3,8,1,3,5,2,2,4,1,2,5,5,3,5,4,2,3,5,1,1,5,2,2,6,8,2,3,8.81,0,Cloud Computing,Cybersecurity,Collaborative,M.Tech,6,11,12,6,3,290000,10,79
AI/ML Engineer,8,1,2,6,6,2,10,10,9,10,5,1,7,5,1,5,4,4,7,4,9,10,1,4,1,6,3,6,3,3,6.8,0,Mobile Apps,Cloud Computing,Collaborative,M.Sc,2,0,3,2,1,240000,7,79
Cybersecurity Analyst,5,5,6,1,7,3,3,2,6,3,5,4,2,1,5,1,3,5,3,1,6,5,1,7,6,10,8,6,5,1,8.9,3,Mobile Apps,AI/ML,Innovative,BCA,0,1,50,7,2,170000,6,88
Mobile Developer,5,9,10,5,3,4,1,2,5,4,8,5,5,1,2,4,1,2,3,1,4,6,5,4,5,6,9,8,4,2,8.98,3,AR/VR,Product Design,Detail-oriented,B.Tech,1,12,40,2,1,120000,7,89
UI/UX Designer,3,1,5,1,5,1,3,4,5,5,8,3,1,2,6,3,1,2,1,4,4,4,3,1,4,1,2,5,5,4,7.2,3,AR/VR,Product Design,Collaborative,B.Sc,0,10,37,6,1,40000,9,91
Blockchain Developer,5,6,7,4,6,1,4,1,4,3,1,1,1,7,5,4,2,3,3,4,2,2,2,2,2,4,9,7,6,3,7.88,2,IoT,Blockchain,Detail-oriented,M.Tech,5,9,34,1,0,70000,8,64
Data Scientist,8,5,4,10,2,6,10,6,1,2,3,2,4,1,3,1,3,5,3,3,8,4,1,8,7,3,3,3,8,4,6.07,1,Data Analytics,Mobile Apps,Creative,MCA,4,3,49,7,3,270000,5,95
Mobile Developer,6,6,10,2,4,1,3,5,4,2,6,1,1,5,4,5,4,1,4,2,4,3,1,1,5,1,6,6,7,3,8.87,2,Web Development,Blockchain,Analytical,B.Tech,3,5,42,8,3,60000,6,70
DevOps Engineer,7,3,1,1,4,1,1,5,1,3,3,1,4,2,8,10,3,1,10,10,4,4,2,6,6,7,4,2,1,3,6.17,4,Web Development,Cybersecurity,Detail-oriented,M.Sc,3,5,28,6,1,270000,7,94
Full Stack Developer,7,2,10,5,3,1,4,1,2,2,10,9,5,5,8,4,4,2,1,3,5,1,4,5,3,7,5,1,3,2,8.53,2,Cybersecurity,Blockchain,Innovative,BCA,6,8,32,9,0,240000,6,65
Mobile Developer,7,8,6,1,4,1,2,5,1,1,8,6,2,3,5,1,6,1,2,3,4,5,6,1,1,6,9,7,1,4,8.72,2,Mobile Apps,Blockchain,Creative,BCA,0,1,9,6,2,60000,7,73
Cybersecurity Analyst,9,5,3,3,5,7,3,1,4,1,2,6,5,2,6,6,4,6,3,2,4,1,1,1,1,10,9,9,4,5,7.48,4,IoT,IoT,Analytical,BCA,8,4,23,9,3,60000,9,91
Data Scientist,10,6,6,10,4,2,7,8,5,5,7,3,6,2,4,5,5,4,7,1,6,2,3,10,10,1,1,3,10,4,6.48,1,Product Design,IoT,Analytical,M.Sc,6,13,18,3,1,290000,5,75
Blockchain Developer,9,1,6,1,6,4,2,5,6,3,6,2,1,3,1,6,2,5,1,5,1,4,2,6,4,2,10,10,7,4,8.64,3,Cybersecurity,Mobile Apps,Collaborative,BCA,5,1,43,0,2,270000,7,94
AI/ML Engineer,10,6,3,1,3,2,10,10,7,9,1,5,3,6,4,5,2,1,2,1,7,10,3,5,4,1,2,5,2,6,8.27,4,Web Development,Mobile Apps,Analytical,BCA,1,11,27,6,2,200000,7,79
Mobile Developer,4,9,6,5,3,3,1,1,4,7,7,7,5,4,5,1,3,5,6,5,1,1,3,3,3,2,5,6,5,2,9.37,2,AR/VR,Cybersecurity,Detail-oriented,B.Sc,1,15,28,8,3,240000,8,61
Cybersecurity Analyst,6,7,3,1,9,6,3,2,4,5,5,3,3,5,3,7,4,6,5,5,3,2,5,1,4,10,6,9,6,5,6.98,3,Web Development,Cybersecurity,Creative,M.Tech,6,5,13,3,2,50000,8,70
Data Scientist,8,3,2,10,1,7,8,5,4,5,3,4,4,5,1,6,1,5,3,1,8,1,1,8,7,3,1,1,7,2,8.65,3,AI/ML,Product Design,Creative,M.Sc,2,13,39,4,0,60000,5,68
Cybersecurity Analyst,7,8,3,4,9,1,5,2,6,3,1,4,2,5,5,1,1,5,5,1,2,2,3,5,5,7,5,7,2,1,7.75,1,Product Design,AI/ML,Creative,MCA,1,0,39,4,3,140000,10,82
AI/ML Engineer,8,1,1,1,1,3,7,10,6,8,6,5,4,3,2,5,1,1,3,3,10,10,4,5,5,5,3,2,1,1,8.0,1,AI/ML,Web Development,Innovative,BCA,4,11,32,6,3,230000,6,94
Data Scientist,10,5,1,7,3,1,7,7,4,3,6,3,2,5,3,1,1,5,1,6,7,2,2,7,8,1,1,2,7,3,7.37,2,Product Design,Mobile Apps,Collaborative,M.Tech,8,15,31,1,2,60000,7,68
Product Manager,3,3,1,8,3,5,4,4,1,4,3,4,7,3,1,3,3,5,1,6,5,2,5,5,4,9,4,1,7,2,7.54,2,Cybersecurity,Web Development,Creative,B.Sc,8,11,6,7,3,140000,9,84
Cybersecurity Analyst,5,4,2,3,6,1,3,6,4,1,3,1,2,2,2,5,6,3,4,4,5,3,1,2,2,8,9,7,3,4,9.5,2,Web Development,Mobile Apps,Collaborative,B.Sc,4,12,35,5,3,180000,8,100
AI/ML Engineer,8,2,4,1,4,6,10,8,10,6,3,2,3,3,3,4,5,7,3,1,9,10,6,4,5,3,1,3,7,6,9.09,1,Product Design,Blockchain,Collaborative,MCA,0,4,36,7,3,80000,6,100
Cybersecurity Analyst,5,7,2,4,6,5,5,4,1,5,4,3,1,2,3,2,3,3,3,2,4,7,4,1,1,7,5,6,6,4,6.43,0,AR/VR,AR/VR,Analytical,BCA,0,13,39,5,0,270000,7,86
Mobile Developer,6,6,6,3,1,3,7,4,1,4,6,4,6,1,6,6,4,1,4,1,3,6,1,6,1,1,9,8,7,2,9.94,4,Blockchain,Blockchain,Leadership,BCA,7,14,23,5,3,160000,7,75
Blockchain Developer,5,3,9,6,9,1,3,2,1,5,1,2,4,1,2,5,2,5,1,2,1,2,3,7,1,3,9,9,1,3,9.23,5,AR/VR,AI/ML,Leadership,M.Tech,2,15,48,2,2,110000,7,68
Product Manager,7,2,3,5,3,7,3,1,3,5,6,1,4,2,2,3,6,6,6,3,2,1,3,3,3,9,1,3,9,3,8.76,5,AI/ML,Data Analytics,Leadership,MCA,6,13,11,0,1,130000,10,83
Blockchain Developer,8,4,8,4,10,4,3,6,1,3,3,2,4,6,7,6,4,7,5,4,3,5,3,7,3,1,10,10,3,1,8.66,5,IoT,Cloud Computing,Innovative,M.Sc,4,10,22,6,0,170000,7,69
Cybersecurity Analyst,8,7,3,1,6,4,1,6,3,2,3,4,5,3,4,5,1,1,6,4,5,1,4,2,1,7,9,10,2,6,8.54,3,AR/VR,Blockchain,Analytical,BCA,2,13,50,3,3,200000,10,66
AI/ML Engineer,7,5,3,2,2,7,10,7,9,6,2,1,1,5,1,2,3,3,6,4,10,7,5,5,1,4,1,1,3,3,9.52,4,Blockchain,AI/ML,Innovative,M.Tech,5,1,41,4,2,280000,5,79
UI/UX Designer,4,6,6,4,2,3,2,1,4,2,8,1,2,4,3,5,5,5,1,3,2,3,7,4,2,5,4,4,3,1,7.59,4,IoT,Data Analytics,Innovative,BCA,6,4,21,6,0,220000,7,64
DevOps Engineer,7,6,5,3,7,4,4,2,3,6,4,6,1,6,10,10,2,2,8,10,4,3,3,4,6,10,4,3,3,6,7.67,4,Mobile Apps,AR/VR,Collaborative,M.Sc,5,1,19,0,2,290000,7,86
Cloud Architect,3,5,2,1,6,3,2,1,2,3,2,6,6,1,8,9,6,6,9,9,3,2,3,1,1,10,4,2,6,3,7.48,3,Blockchain,Blockchain,Creative,MCA,3,11,16,10,1,120000,8,61
Cybersecurity Analyst,6,4,3,1,6,1,5,1,2,4,2,6,1,4,2,6,4,5,3,2,5,6,6,3,3,7,5,6,4,4,7.29,4,AI/ML,Cybersecurity,Detail-oriented,MCA,7,2,39,9,0,210000,7,65
Data Scientist,10,2,5,6,1,1,9,9,1,4,7,1,1,2,4,1,4,7,3,1,9,2,3,8,10,1,1,3,10,2,9.22,5,Web Development,AR/VR,Detail-oriented,B.Tech,6,14,15,7,0,260000,9,64
UI/UX Designer,1,3,8,1,2,1,1,1,3,2,8,4,6,2,2,2,7,7,2,1,4,4,4,4,2,3,2,3,3,3,7.78,1,Web Development,Mobile Apps,Collaborative,M.Tech,5,15,28,9,3,260000,6,79
Data Scientist,9,5,3,9,2,2,10,6,7,6,2,2,5,3,2,1,5,4,1,2,7,3,3,7,9,3,3,3,9,6,8.73,2,Web Development,AI/ML,Collaborative,M.Tech,8,12,19,4,3,230000,6,67
Mobile Developer,5,6,6,5,1,3,3,1,1,1,5,5,3,3,5,5,1,1,1,1,1,5,2,5,6,3,5,8,2,4,6.88,0,Mobile Apps,Product Design,Creative,M.Tech,1,10,27,3,2,210000,7,89
Full Stack Developer,7,5,10,7,4,6,3,3,2,1,7,10,9,6,7,2,6,2,3,6,1,2,6,2,2,2,1,5,2,2,9.64,2,Cybersecurity,IoT,Leadership,BCA,4,12,0,0,2,70000,8,88
